i,r,t,Value
coalolduns,p34,2015,277019.127
coalolduns,p34,2020,40471.2
coalolduns,p34,2023,40471.2
coalolduns,p34,2026,40471.2
coalolduns,p34,2029,65201.136
coalolduns,p35,2010,344348.142635
coalolduns,p35,2015,27909.36
coalolduns,p35,2020,27909.36
coalolduns,p36,2010,714617.2908
coalolduns,p36,2015,54820.08
coalolduns,p36,2020,54820.08
coalolduns,p41,2010,3842743.181994
coalolduns,p41,2015,3792878.519591
coalolduns,p41,2020,3685957.221996
coalolduns,p41,2023,3462000.854829
coalolduns,p41,2026,3730248.769878
coalolduns,p41,2029,3063209.154585
coalolduns,p43,2010,5511458.01
coalolduns,p43,2015,5428298.8125
coalolduns,p43,2020,4206082.8462
coalolduns,p43,2023,3478583.955
coalolduns,p43,2026,3442243.469899
coalolduns,p54,2010,3854701.8
coalolduns,p54,2015,3818744.478
coalolduns,p54,2020,3766196.916
coalolduns,p54,2023,3779777.646
coalolduns,p54,2026,3760098.654
coalolduns,p54,2029,3679984.992
coalolduns,p70,2010,787687.476387
coalolduns,p70,2015,783022.153861
coalolduns,p70,2020,780348.563393
coalolduns,p70,2023,779819.004464
coalolduns,p70,2026,781997.112984
coalolduns,p70,2029,761994.471116
coalolduns,p72,2010,6499222.425738
coalolduns,p72,2015,6438385.17246
coalolduns,p72,2020,6324050.970252
